,ts,temp,snow,desc
0,1388534400,0.1,0.0,Clear Sky
1,1388538000,-0.4,0.0,Clear Sky
2,1388541600,-0.9,0.0,Clear Sky
3,1388545200,-1.9,0.0,Clear Sky
4,1388548800,-2.3,0.0,Clear Sky
5,1388552400,-2.9,0.0,Clear Sky
6,1388556000,-3.3,0.0,Clear Sky
7,1388559600,-3.6,0.0,Clear Sky
8,1388563200,-3.8,0.0,Clear Sky
9,1388566800,-3.9,0.0,Few clouds
10,1388570400,-3.7,0.0,Scattered clouds
11,1388574000,-3.5,0.0,Broken clouds
12,1388577600,-3.4,0.0,Scattered clouds
13,1388581200,-3.4,0.0,Overcast clouds
14,1388584800,-2.2,0.0,Broken clouds
15,1388588400,-1.6,0.0,Scattered clouds
16,1388592000,-1.3,0.0,Few clouds
17,1388595600,-1.0,0.0,Scattered clouds
18,1388599200,-0.4,0.0,Scattered clouds
19,1388602800,-0.2,0.0,Few clouds
20,1388606400,0.0,0.0,Scattered clouds
21,1388610000,0.1,0.0,Overcast clouds
22,1388613600,0.4,0.0,Overcast clouds
23,1388617200,0.5,0.0,Overcast clouds
24,1388620800,0.8,0.0,Overcast clouds
25,1388624400,1.1,0.0,Overcast clouds
26,1388628000,0.7,0.0,Overcast clouds
27,1388631600,0.5,0.0,Overcast clouds
28,1388635200,0.5,0.0,Overcast clouds
29,1388638800,0.4,0.0,Overcast clouds
30,1388642400,0.6,0.0,Overcast clouds
31,1388646000,0.7,0.0,Overcast clouds
32,1388649600,0.6,0.0,Overcast clouds
33,1388653200,-0.3,0.0,Overcast clouds
34,1388656800,-1.1,0.0,Overcast clouds
35,1388660400,-1.8,0.0,Overcast clouds
36,1388664000,-2.0,0.0,Overcast clouds
37,1388667600,-2.0,0.0,Overcast clouds
38,1388671200,-2.2,0.0,Overcast clouds
39,1388674800,-2.3,0.0,Overcast clouds
40,1388678400,-2.3,0.0,Overcast clouds
41,1388682000,-2.3,0.0,Overcast clouds
42,1388685600,-2.5,0.0,Overcast clouds
43,1388689200,-2.8,0.0,Overcast clouds
44,1388692800,-2.7,0.0,Overcast clouds
45,1388696400,-2.5,0.0,Overcast clouds
46,1388700000,-2.5,7.5,Overcast clouds
47,1388703600,-2.8,7.5,Overcast clouds
48,1388707200,-3.4,7.5,Overcast clouds
49,1388710800,-4.1,10.0,Overcast clouds
50,1388714400,-5.0,20.0,Light snow
51,1388718000,-5.4,20.0,Light snow
52,1388721600,-5.9,20.0,Light snow
53,1388725200,-6.7,20.0,Light snow
54,1388728800,-9.2,20.0,Light snow
55,1388732400,-11.0,37.5,Light snow
56,1388736000,-11.4,37.5,Light snow
57,1388739600,-11.2,25.0,Light snow
58,1388743200,-10.9,25.0,Light snow
59,1388746800,-10.6,25.0,Light snow
60,1388750400,-11.0,12.5,Overcast clouds
61,1388754000,-11.5,12.5,Overcast clouds
62,1388757600,-11.5,0.0,Overcast clouds
63,1388761200,-11.0,0.0,Overcast clouds
64,1388764800,-9.1,0.0,Overcast clouds
65,1388768400,-9.2,0.0,Few clouds
66,1388772000,-8.1,0.0,Clear Sky
67,1388775600,-8.8,0.0,Clear Sky
68,1388779200,-8.6,0.0,Clear Sky
69,1388782800,-8.8,0.0,Clear Sky
70,1388786400,-9.4,0.0,Clear Sky
71,1388790000,-10.2,0.0,Clear Sky
72,1388793600,-10.4,0.0,Clear Sky
73,1388797200,-11.1,0.0,Clear Sky
74,1388800800,-11.5,0.0,Clear Sky
75,1388804400,-11.6,0.0,Clear Sky
76,1388808000,-11.7,0.0,Clear Sky
77,1388811600,-12.1,0.0,Clear Sky
78,1388815200,-12.5,0.0,Clear Sky
79,1388818800,-12.5,0.0,Clear Sky
80,1388822400,-12.2,0.0,Clear Sky
81,1388826000,-12.0,0.0,Broken clouds
82,1388829600,-11.5,0.0,Scattered clouds
83,1388833200,-11.3,0.0,Overcast clouds
84,1388836800,-12.0,0.0,Overcast clouds
85,1388840400,-11.1,0.0,Overcast clouds
86,1388844000,-10.7,0.0,Overcast clouds
87,1388847600,-9.6,0.0,Few clouds
88,1388851200,-7.5,0.0,Clear Sky
89,1388854800,-6.6,0.0,Clear Sky
90,1388858400,-5.4,0.0,Clear Sky
91,1388862000,-4.3,0.0,Clear Sky
92,1388865600,-3.3,0.0,Clear Sky
93,1388869200,-2.7,0.0,Scattered clouds
94,1388872800,-2.7,0.0,Scattered clouds
95,1388876400,-2.5,0.0,Broken clouds
96,1388880000,-2.0,0.0,Broken clouds
97,1388883600,-1.5,0.0,Few clouds
98,1388887200,-2.1,0.0,Clear Sky
99,1388890800,-2.5,0.0,Clear Sky
100,1388894400,-2.5,0.0,Clear Sky
101,1388898000,-2.4,0.0,Clear Sky
102,1388901600,-2.5,0.0,Clear Sky
103,1388905200,-2.3,0.0,Clear Sky
104,1388908800,-2.8,0.0,Clear Sky
105,1388912400,-3.1,0.0,Few clouds
106,1388916000,-2.7,0.0,Broken clouds
107,1388919600,-2.8,0.0,Overcast clouds
108,1388923200,-2.6,0.0,Overcast clouds
109,1388926800,-2.1,0.0,Overcast clouds
110,1388930400,-1.2,0.0,Overcast clouds
111,1388934000,-1.0,0.0,Overcast clouds
112,1388937600,-0.6,0.0,Overcast clouds
113,1388941200,-0.3,0.0,Overcast clouds
114,1388944800,-0.2,0.0,Overcast clouds
115,1388948400,0.6,0.0,Overcast clouds
116,1388952000,1.5,0.0,Overcast clouds
117,1388955600,2.6,0.0,Overcast clouds
118,1388959200,3.0,0.0,Overcast clouds
119,1388962800,3.5,0.0,Overcast clouds
120,1388966400,6.3,0.0,Overcast clouds
121,1388970000,7.0,0.0,Overcast clouds
122,1388973600,7.8,0.0,Overcast clouds
123,1388977200,8.6,0.0,Overcast clouds
124,1388980800,9.2,0.0,Overcast clouds
125,1388984400,10.3,0.0,Overcast clouds
126,1388988000,10.3,0.0,Light rain
127,1388991600,10.9,0.0,Light rain
128,1388995200,12.1,0.0,Overcast clouds
129,1388998800,12.2,0.0,Overcast clouds
130,1389002400,11.8,0.0,Overcast clouds
131,1389006000,11.9,0.0,Overcast clouds
132,1389009600,12.1,0.0,Overcast clouds
133,1389013200,12.5,0.0,Overcast clouds
134,1389016800,8.2,0.0,Overcast clouds
135,1389020400,7.2,0.0,Light rain
136,1389024000,5.6,0.0,Overcast clouds
137,1389027600,6.8,0.0,Overcast clouds
138,1389031200,4.2,0.0,Light rain
139,1389034800,4.2,0.0,Overcast clouds
140,1389038400,4.5,0.0,Overcast clouds
141,1389042000,4.6,0.0,Broken clouds
142,1389045600,3.7,0.0,Overcast clouds
143,1389049200,2.5,0.0,Overcast clouds
144,1389052800,2.1,0.0,Overcast clouds
145,1389056400,0.9,0.0,Overcast clouds
146,1389060000,-0.5,0.0,Broken clouds
147,1389063600,-2.1,0.0,Broken clouds
148,1389067200,-4.3,0.0,Few clouds
149,1389070800,-7.3,0.0,Clear Sky
150,1389074400,-9.7,0.0,Clear Sky
151,1389078000,-10.9,0.0,Clear Sky
152,1389081600,-11.8,0.0,Clear Sky
153,1389085200,-12.4,0.0,Clear Sky
154,1389088800,-13.0,0.0,Clear Sky
155,1389092400,-13.6,0.0,Clear Sky
156,1389096000,-14.0,0.0,Clear Sky
157,1389099600,-14.7,0.0,Clear Sky
158,1389103200,-14.7,0.0,Clear Sky
159,1389106800,-14.6,0.0,Clear Sky
160,1389110400,-13.9,0.0,Clear Sky
161,1389114000,-13.5,0.0,Clear Sky
162,1389117600,-13.0,0.0,Clear Sky
163,1389121200,-12.1,0.0,Clear Sky
164,1389124800,-11.8,0.0,Clear Sky
165,1389128400,-11.8,0.0,Clear Sky
166,1389132000,-12.2,0.0,Clear Sky
167,1389135600,-11.8,0.0,Clear Sky
168,1389139200,-12.2,0.0,Clear Sky
169,1389142800,-11.8,0.0,Clear Sky
170,1389146400,-12.3,0.0,Clear Sky
171,1389150000,-12.3,0.0,Clear Sky
172,1389153600,-12.2,0.0,Clear Sky
173,1389157200,-11.9,0.0,Clear Sky
174,1389160800,-12.0,0.0,Clear Sky
175,1389164400,-12.0,0.0,Clear Sky
176,1389168000,-12.3,0.0,Clear Sky
177,1389171600,-12.4,0.0,Clear Sky
178,1389175200,-12.2,0.0,Clear Sky
179,1389178800,-12.5,0.0,Clear Sky
180,1389182400,-12.3,0.0,Few clouds
181,1389186000,-12.2,0.0,Few clouds
182,1389189600,-11.7,0.0,Few clouds
183,1389193200,-10.9,0.0,Few clouds
184,1389196800,-10.0,0.0,Few clouds
185,1389200400,-9.2,0.0,Few clouds
186,1389204000,-8.3,0.0,Clear Sky
187,1389207600,-7.0,0.0,Few clouds
188,1389211200,-6.4,0.0,Clear Sky
189,1389214800,-6.0,0.0,Clear Sky
190,1389218400,-6.0,0.0,Scattered clouds
191,1389222000,-6.0,0.0,Broken clouds
192,1389225600,-6.0,0.0,Broken clouds
193,1389229200,-6.3,0.0,Overcast clouds
194,1389232800,-5.9,0.0,Few clouds
195,1389236400,-5.7,0.0,Broken clouds
196,1389240000,-5.8,0.0,Overcast clouds
197,1389243600,-5.7,0.0,Overcast clouds
198,1389247200,-5.2,0.0,Overcast clouds
199,1389250800,-4.9,0.0,Overcast clouds
200,1389254400,-4.5,0.0,Overcast clouds
201,1389258000,-4.8,0.0,Broken clouds
202,1389261600,-5.0,0.0,Overcast clouds
203,1389265200,-5.1,0.0,Scattered clouds
204,1389268800,-5.0,0.0,Few clouds
205,1389272400,-4.7,0.0,Clear Sky
206,1389276000,-4.4,0.0,Clear Sky
207,1389279600,-3.6,0.0,Clear Sky
208,1389283200,-2.8,0.0,Clear Sky
209,1389286800,-2.7,0.0,Clear Sky
210,1389290400,-1.2,0.0,Clear Sky
211,1389294000,-0.9,0.0,Clear Sky
212,1389297600,-0.8,0.0,Clear Sky
213,1389301200,0.0,0.0,Clear Sky
214,1389304800,-0.7,0.0,Clear Sky
215,1389308400,-0.9,0.0,Clear Sky
216,1389312000,-1.0,0.0,Few clouds
217,1389315600,-1.0,0.0,Broken clouds
218,1389319200,-0.8,0.0,Scattered clouds
219,1389322800,-1.1,0.0,Scattered clouds
220,1389326400,-1.0,0.0,Few clouds
221,1389330000,-0.8,0.0,Broken clouds
222,1389333600,-0.5,0.0,Overcast clouds
223,1389337200,-1.0,0.0,Overcast clouds
224,1389340800,-0.4,0.0,Overcast clouds
225,1389344400,-0.6,0.0,Overcast clouds
226,1389348000,-0.2,0.0,Overcast clouds
227,1389351600,-0.2,0.0,Overcast clouds
228,1389355200,-0.2,0.0,Overcast clouds
229,1389358800,0.2,0.0,Overcast clouds
230,1389362400,-0.4,0.0,Overcast clouds
